Source,Catalog,Site,Locus,ProvString,Component,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType
Ruby,26HU4923-11-412,26HU4923,B,"CU 8, 030-040",Middle Archaic (Locus B),1,0.4,Obsidian,Proximal fragment,-9,-8.5,-16.1,-3.9,-12.9,11.1,125,,,-9,no DSA,Elko?
Ruby,26HU4923-11-373,26HU4923,B,"CU 7, 030-040",Middle Archaic (Locus B),1,6.6,Obsidian,Whole,53,52.6,19.5,7.7,10,,,,46,,,Lanceolate
Ruby,26HU4923-11-320,26HU4923,B,"CU 6, 040-050",Middle Archaic (Locus B),1,1.9,Obsidian,Proximal fragment,-25.4,-20.5,-17.8,-5.2,,,,,,,,Humboldt?
Ruby,26HU5222-11-323,26HU5222,C,"CU 4, 000-010",Late Archaic (Locus C),1,0.1,Obsidian,Proximal fragment,-4.9,-4.6,-7.6,-2.3,7.6,5.7,120,,,-4.9,base only,Rosegate?
Ruby,26HU4923-11-257,26HU4923,B,"CU 4, 060-070",Middle Archaic (Locus B),1,0.4,Obsidian,Proximal fragment,-8.1,-6.4,-18.4,-3.2,-18.4,,135,,,-8.1,base only; could probably measure nw,Elko?
Ruby,26HU4923-11-6,26HU4923,B,Artifact 6,Middle Archaic (Locus B),1,1.5,Obsidian,Whole,-25.7,-24.8,13.6,4.7,6.3,,,,,,,Lanceolate
Ruby,26HU4923-11-14,26HU4923,B,Artifact 15,Middle Archaic (Locus B),1,2.2,Obsidian,Proximal fragment,-28.5,-26.5,-15,5.2,-11.6,10.6,118,,,-6.1,,Dart-sized
Ruby,26HU5222-11-249,26HU5222,C,"SS 3, 000-005",Late Archaic (Locus C),1,0.1,Obsidian,Proximal fragment,-6.5,-6.5,-8,-2.5,7.5,5.9,135,166,,-5.6,,Rosegate
Ruby,26HU5222-11-83,26HU5222,B,Artifact 83,Non-component,1,0.3,Obsidian,Proximal fragment,-15.8,,-8.8,-3,,,178,,,-15.8,portion of base only,Northern Side-notched?
Ruby,26HU4799-11-1,26HU4799,-,Artifact 1,Paleoarchaic,1,1.4,Obsidian,Medial fragment,-16.8,-16.5,-16.3,4.3,,8.3,,,,,,Dart-sized
Ruby,26HU4793-11-8,26HU4793,NL,Artifact 8,Non-component,1,1,Obsidian,Medial fragment,-17.2,-15.9,-17.5,3.9,,9.7,,,,,,Indeterminate
Ruby,26HU4792-11-996,26HU4792,IJ,"CU IJ11, 020-030",Late Archaic (Locus IJ),1,0.4,Obsidian,Medial fragment,-9.7,-7.6,16.1,2.7,,7.1,,,,,,Arrow-sized
Ruby,26HU4792-11-978,26HU4792,IJ,"CU IJ10, 000-010",Late Archaic (Locus IJ),1,0.1,Obsidian,Proximal fragment,-5.5,-5.1,-7.6,2.7,7.6,-6.1,121,,,-5.5,,Indeterminate
Ruby,26HU4792-11-944,26HU4792,IJ,"CU IJ8, 020-030",Non-component,1,0.1,Obsidian,Proximal fragment,-5.5,-4.8,-7.6,-2.3,7.9,-5.8,128,,,-5.5,,Indeterminate
Ruby,26HU4792-11-845,26HU4792,IJ,"CU IJ2, 020-030",Non-component,1,0.1,Obsidian,Proximal fragment,-5.6,-5.3,-9,-2.1,-9,5.4,162,203,,-5.1,,Indeterminate
Ruby,26HU4792-11-660,26HU4792,AB,"CU AB8, 040-050",Late Archaic (Locus AB),1,0.2,Obsidian,Whole,16.7,16.4,9.5,1.8,-2.7,-2.8,119,157,,-3,deeply serrated,Other Arrow
Ruby,26HU4792-11-658,26HU4792,AB,"CU AB8, 040-050",Late Archaic (Locus AB),1,0.3,Cryptocrystalline silicate,Nearly complete,-17,16.6,-11.6,2.5,-11.1,,,,,,,Cottonwood?
Ruby,26HU4792-11-643,26HU4792,AB,"CU AB8, 020-030",Late Archaic (Locus AB),1,0.4,Obsidian,Proximal fragment,-11.9,-10.9,13.5,-2.3,13.5,,,,,,,Indeterminate
Ruby,26HU4792-11-412,26HU4792,AB,"CU AB3, 010-020",Late Archaic (Locus AB),1,0.6,Obsidian,Proximal fragment,-12,-10.8,13.5,2.5,13.5,,,,,,,Indeterminate
Ruby,26HU4792-11-352,26HU4792,AB,"CU AB2, 000-010",Late Archaic (Locus AB),1,0.1,Obsidian,Proximal fragment,-8.1,-7.7,-7.9,-2.6,-7.3,,92,,,-8.1,,Indeterminate
Ruby,26HU4792-11-306,26HU4792,AB,"CU AB1, 020-030",Late Archaic (Locus AB),1,0.6,Obsidian,Distal fragment,-21.5,-21.5,-12.3,2.8,,,,,,,,Arrow-sized
Ruby,26HU4792-11-305,26HU4792,AB,"CU AB1, 020-030",Late Archaic (Locus AB),1,0.5,Obsidian,Proximal fragment,-12.6,-12.1,-15.3,2.7,-6.8,-6,126,168,,-5.3,NW looks close to complete,Arrow-sized
Ruby,26HU4792-11-82,26HU4792,IJ,Artifact 83,Non-component,1,0.7,Obsidian,Medial fragment,-12.3,-11.9,-12.3,3.1,,-6.6,,122,,,,Arrow-sized
Ruby,26HU4792-11-81,26HU4792,IJ,Artifact 82,Non-component,1,0.4,Cryptocrystalline silicate,Proximal fragment,-11.9,-11.5,8.3,4.1,6.7,,,,,,minimally worked,Humboldt?
Ruby,26HU4792-11-67,26HU4792,NL,Artifact 67,Non-component,1,2.4,Obsidian,Distal fragment,-29.4,-26,-17.2,5.3,,,,152,,,base missing,Dart-sized
Ruby,26HU4792-11-47,26HU4792,IJ,Artifact 47,Non-component,1,0.1,Obsidian,Proximal fragment,-7.6,,-10.5,-2.4,,,,,,,"no DSA, partial base (DSN or NSN)",Indeterminate
Ruby,26HU4792-11-39,26HU4792,NL,Artifact 39,Non-component,1,0.9,Obsidian,Medial fragment,-10.4,-9.6,-22.9,3.5,,,,136,,,,Indeterminate
Ruby,26HU4792-11-31,26HU4792,NL,Artifact 31,Non-component,1,0.2,Obsidian,Proximal fragment,-11.9,,-10.7,-2.4,,,182,,,-11.9,no DSA,Northern Side-notched?
Ruby,26HU4792-11-30,26HU4792,NL,Artifact 30,Non-component,1,0.4,Obsidian,Margin fragment,-10.1,-10.1,-11.4,3.2,-9,-9.5,162,228,,-7.8,orientation? One notch only,Indeterminate
Ruby,26HU4792-11-27,26HU4792,CD,Artifact 27,Non-component,1,0.5,Obsidian,Margin fragment,-14.8,-11,-10.4,-4.4,,-6.3,146,,,-14.8,,Indeterminate
Ruby,26HU5109-11-8,26HU5109,-,Artifact 8,Middle Archaic,1,2.8,Obsidian,Medial fragment,-23.3,-22,-22.4,5.2,,-14.9,,165,,,,Dart-sized
Ruby,26HU5105-11-6,26HU5105,NL,Artifact 6,Paleoarchaic,1,4.94,Obsidian,Proximal fragment,-38.6,-37,-23.4,5.2,12.5,,82,,,-38.6,,Great Basin Stemmed
Ruby,26HU5105-11-4,26HU5105,NL,Artifact 4,Paleoarchaic,1,2.18,Obsidian,Proximal fragment,-22.8,-20.4,-17.5,-5.1,14.8,,90,,,-22.8,,Great Basin Stemmed
Ruby,26HU5109-11-139,26HU5109,-,"CU 5, 040-050",Middle Archaic,1,4.4,Obsidian,Nearly complete,-37.2,-35.1,-16.9,7.2,-11.5,,,,,,,Humboldt
Ruby,26HU5105-11-3,26HU5105,NL,Artifact 3,Paleoarchaic,1,6.02,Obsidian,Proximal fragment,-39.2,-38.8,-23.6,6.9,12.5,,83,,,-19.2,,Great Basin Stemmed
Ruby,26WA8692-11-5,26WA8692,-,Artifact 5,Non-component,1,9.3,Obsidian,Margin fragment,-38.2,-38.1,-25.3,8.4,-18.2,19.3,83,196,,-6,,Great Basin Stemmed
Ruby,26HU5095-11-43,26HU5095,A,Artifact 43,Early Archaic (Locus A),1,1.97,Obsidian,Margin fragment,-18,-15.7,-22.9,4.9,,,,166,,,,Indeterminate
