CatID,ACC,Site,CAT,Locus,ProvString,Component,Description,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType,Analyst,Complete,Notched,Serrated,EdgeGround,BasalThinned,Reworked
33221,26HU4962-10,26HU4962,3713,NL,PL Artifact 44,Non-component,PROJECTILE POINT,1,1.7,Obsidian,Proximal fragment,21.5,20.4,15.3,5.3,12.3,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33222,26HU4962-10,26HU4962,3714,NL,PL Artifact A,Non-component,PROJECTILE POINT,1,0.6,Obsidian,Proximal fragment,21.2,18.8,13.2,3,9.5,7.1,129,164,,7.1,extrapolating NW,Rosegate?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33223,26HU4962-10,26HU4962,3715,B,PL Artifact E,Non-component,PROJECTILE POINT,1,0.6,Obsidian,Proximal fragment,14.6,10.5,14.3,4.3,14.7,7.1,131,196,,9.4,,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33224,26HU4962-10,26HU4962,3716,B,PL Artifact F,Non-component,PROJECTILE POINT,1,0.9,Obsidian,Proximal fragment,16.2,9.8,19.6,3.1,23.6,9.8,147,,,16.2,,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33225,26HU4962-10,26HU4962,3717,NL,PL Artifact G,Non-component,PROJECTILE POINT,1,1,Obsidian,Proximal fragment,14.4,11.2,15.1,4.3,22.9,9,157,215,,10.6,,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33226,26HU4962-10,26HU4962,3718,NL,PL Artifact H,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Proximal fragment,12.9,11.1,22.2,3.6,17.7,8.9,144,,,11.4,,Northern Side-notched?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33227,26HU4962-10,26HU4962,3719,NL,PL Artifact I,Non-component,PROJECTILE POINT,1,0.9,Obsidian,Proximal fragment,16.4,14.9,13.2,4.9,13.8,6.6,151,158,,8,PSA rule; base broken,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33228,26HU4962-10,26HU4962,3720,NL,PL Artifact P,Non-component,PROJECTILE POINT,1,2.2,Obsidian,Medial fragment,29.6,24.8,22.4,3.9,22.3,8,,136,,,no PSA,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33229,26WA8766-10,26WA8766,3721,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,3.1,Obsidian,Proximal fragment,26.6,26.4,23.6,4.6,14.3,12.6,107,152,,7.7,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33230,26HU4792-10,26HU4792,3722,IJ,PL Artifact 2,Non-component,PROJECTILE POINT,1,1,Cryptocrystalline silicate,Proximal fragment,22.3,19,16.1,3.6,15.9,8.9,164,170,,9.1,nice,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33231,26HU4793-10,26HU4793,3723,NL,PL Artifact 2,Non-component,PROJECTILE POINT,1,2.4,Obsidian,Medial fragment,22.2,21.8,25.6,4.4,,,,150,,,,Indeterminate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33232,26HU4793-10,26HU4793,3724,NL,PL Artifact 11,Non-component,PROJECTILE POINT,1,1.2,Cryptocrystalline silicate,Proximal fragment,20.4,20,17.3,3.2,8.8,8.2,114,138,,5.4,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33233,26HU4805-10,26HU4805,3725,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,2,Obsidian,Whole,33.9,33.9,12,5.1,,,,,,,,Lanceolate,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33234,26HU4805-10,26HU4805,3726,B,PL Artifact 2,Non-component,PROJECTILE POINT,1,0.3,Cryptocrystalline silicate,Whole,16.5,16.2,11.2,1.8,11.2,7.4,162,194,,3.9,"Nearly complete, just missing tip",Desert Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33237,26HU4807-10,26HU4807,3729,-,PL Artifact 1,,PROJECTILE POINT,1,0.4,Cryptocrystalline silicate,Proximal fragment,19.3,15.6,9.9,1.7,10,,,,,,,Cottonwood,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
33281,26HU4962-10,26HU4962,3814,A,PL Artifact 15,Non-component,PROJECTILE POINT,1,0.8,Obsidian,Medial fragment,15.4,15.2,15.5,3.8,,5.2,106,131,,2.4,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33282,26HU4962-10,26HU4962,3815,A,PL Artifact 18,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Proximal fragment,14,12.9,23.7,3.1,,14.1,120,157,,4.9,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
